#?PETBL/1.0
## name ISO-IR 165 (GL encoding)
#?o table-name="iso_ir_165"
#?o charset-chars="94"
#?o charset-dimension="2"
#?o charset-final-byte="E"
0x224F	U+247E		# PARENTHESIZED NUMBER ELEVEN
0x2250	U+247F		# PARENTHESIZED NUMBER TWELVE
0x2251	U+2480		# PARENTHESIZED NUMBER THIRTEEN
0x2252	U+2481		# PARENTHESIZED NUMBER FOURTEEN
0x2253	U+2482		# PARENTHESIZED NUMBER FIFTEEN
0x2254	U+2483		# PARENTHESIZED NUMBER SIXTEEN
0x2255	U+2484		# PARENTHESIZED NUMBER SEVENTEEN
0x2256	U+2485		# PARENTHESIZED NUMBER EIGHTEEN
0x2257	U+2486		# PARENTHESIZED NUMBER NINETEEN
0x2258	U+2487		# PARENTHESIZED NUMBER TWENTY
0x2259	U+2460		# CIRCLED DIGIT ONE
0x225A	U+2461		# CIRCLED DIGIT TWO
0x225B	U+2462		# CIRCLED DIGIT THREE
0x225C	U+2463		# CIRCLED DIGIT FOUR
0x225D	U+2464		# CIRCLED DIGIT FIVE
0x225E	U+2465		# CIRCLED DIGIT SIX
0x225F	U+2466		# CIRCLED DIGIT SEVEN
0x2260	U+2467		# CIRCLED DIGIT EIGHT
0x2261	U+2468		# CIRCLED DIGIT NINE
0x2262	U+2469		# CIRCLED NUMBER TEN
0x2265	U+3220		# PARENTHESIZED IDEOGRAPH ONE
0x2266	U+3221		# PARENTHESIZED IDEOGRAPH TWO
0x2267	U+3222		# PARENTHESIZED IDEOGRAPH THREE
0x2268	U+3223		# PARENTHESIZED IDEOGRAPH FOUR
0x2269	U+3224		# PARENTHESIZED IDEOGRAPH FIVE
0x226A	U+3225		# PARENTHESIZED IDEOGRAPH SIX
0x226B	U+3226		# PARENTHESIZED IDEOGRAPH SEVEN
0x226C	U+3227		# PARENTHESIZED IDEOGRAPH EIGHT
0x226D	U+3228		# PARENTHESIZED IDEOGRAPH NINE
0x226E	U+3229		# PARENTHESIZED IDEOGRAPH TEN
0x2271	U+2160		# ROMAN NUMERAL ONE
0x2272	U+2161		# ROMAN NUMERAL TWO
0x2273	U+2162		# ROMAN NUMERAL THREE
0x2274	U+2163		# ROMAN NUMERAL FOUR
0x2275	U+2164		# ROMAN NUMERAL FIVE
0x2276	U+2165		# ROMAN NUMERAL SIX
0x2277	U+2166		# ROMAN NUMERAL SEVEN
0x2278	U+2167		# ROMAN NUMERAL EIGHT
0x2279	U+2168		# ROMAN NUMERAL NINE
0x227A	U+2169		# ROMAN NUMERAL TEN
0x227B	U+216A		# ROMAN NUMERAL ELEVEN
0x227C	U+216B		# ROMAN NUMERAL TWELVE
0x2321	U+FF01		# FULLWIDTH EXCLAMATION MARK
0x2322	U+FF02		# FULLWIDTH QUOTATION MARK
0x2323	U+FF03		# FULLWIDTH NUMBER SIGN
0x2324	U+FFE5		# FULLWIDTH YEN SIGN
0x2325	U+FF05		# FULLWIDTH PERCENT SIGN
0x2326	U+FF06		# FULLWIDTH AMPERSAND
0x2327	U+FF07		# FULLWIDTH APOSTROPHE
0x2328	U+FF08		# FULLWIDTH LEFT PARENTHESIS
0x2329	U+FF09		# FULLWIDTH RIGHT PARENTHESIS
0x232A	U+FF0A		# FULLWIDTH ASTERISK
0x232B	U+FF0B		# FULLWIDTH PLUS SIGN
0x232C	U+FF0C		# FULLWIDTH COMMA
0x232D	U+FF0D		# FULLWIDTH HYPHEN-MINUS
0x232E	U+FF0E		# FULLWIDTH FULL STOP
0x232F	U+FF0F		# FULLWIDTH SOLIDUS
0x2330	U+FF10		# FULLWIDTH DIGIT ZERO
0x2331	U+FF11		# FULLWIDTH DIGIT ONE
0x2332	U+FF12		# FULLWIDTH DIGIT TWO
0x2333	U+FF13		# FULLWIDTH DIGIT THREE
0x2334	U+FF14		# FULLWIDTH DIGIT FOUR
0x2335	U+FF15		# FULLWIDTH DIGIT FIVE
0x2336	U+FF16		# FULLWIDTH DIGIT SIX
0x2337	U+FF17		# FULLWIDTH DIGIT SEVEN
0x2338	U+FF18		# FULLWIDTH DIGIT EIGHT
0x2339	U+FF19		# FULLWIDTH DIGIT NINE
0x233A	U+FF1A		# FULLWIDTH COLON
0x233B	U+FF1B		# FULLWIDTH SEMICOLON
0x233C	U+FF1C		# FULLWIDTH LESS-THAN SIGN
0x233D	U+FF1D		# FULLWIDTH EQUALS SIGN
0x233E	U+FF1E		# FULLWIDTH GREATER-THAN SIGN
0x233F	U+FF1F		# FULLWIDTH QUESTION MARK
0x2340	U+FF20		# FULLWIDTH COMMERCIAL AT
0x2341	U+FF21		# FULLWIDTH LATIN CAPITAL LETTER A
0x2342	U+FF22		# FULLWIDTH LATIN CAPITAL LETTER B
0x2343	U+FF23		# FULLWIDTH LATIN CAPITAL LETTER C
0x2344	U+FF24		# FULLWIDTH LATIN CAPITAL LETTER D
0x2345	U+FF25		# FULLWIDTH LATIN CAPITAL LETTER E
0x2346	U+FF26		# FULLWIDTH LATIN CAPITAL LETTER F
0x2347	U+FF27		# FULLWIDTH LATIN CAPITAL LETTER G
0x2348	U+FF28		# FULLWIDTH LATIN CAPITAL LETTER H
0x2349	U+FF29		# FULLWIDTH LATIN CAPITAL LETTER I
0x234A	U+FF2A		# FULLWIDTH LATIN CAPITAL LETTER J
0x234B	U+FF2B		# FULLWIDTH LATIN CAPITAL LETTER K
0x234C	U+FF2C		# FULLWIDTH LATIN CAPITAL LETTER L
0x234D	U+FF2D		# FULLWIDTH LATIN CAPITAL LETTER M
0x234E	U+FF2E		# FULLWIDTH LATIN CAPITAL LETTER N
0x234F	U+FF2F		# FULLWIDTH LATIN CAPITAL LETTER O
0x2350	U+FF30		# FULLWIDTH LATIN CAPITAL LETTER P
0x2351	U+FF31		# FULLWIDTH LATIN CAPITAL LETTER Q
0x2352	U+FF32		# FULLWIDTH LATIN CAPITAL LETTER R
0x2353	U+FF33		# FULLWIDTH LATIN CAPITAL LETTER S
