#?PETBL/1.0 SOURCE
#?o name="cp20290-ms-2000"
#?o ucm:code_set_alias="cp20290-ms	ms20290	windows20290	windows-20290"
## Source: 2000/08/26  21:00               66,082 c_20290.nls
#?o license="Public Domain"
0x71	U+FF49	<-	# FULLWIDTH LATIN SMALL LETTER I
0x72	U+006A		# LATIN SMALL LETTER J
0x72	U+FF4A	<-	# FULLWIDTH LATIN SMALL LETTER J
0x73	U+006B		# LATIN SMALL LETTER K
0x73	U+FF4B	<-	# FULLWIDTH LATIN SMALL LETTER K
0x74	U+006C		# LATIN SMALL LETTER L
0x74	U+FF4C	<-	# FULLWIDTH LATIN SMALL LETTER L
0x75	U+006D		# LATIN SMALL LETTER M
0x75	U+FF4D	<-	# FULLWIDTH LATIN SMALL LETTER M
0x76	U+006E		# LATIN SMALL LETTER N
0x76	U+FF4E	<-	# FULLWIDTH LATIN SMALL LETTER N
0x77	U+006F		# LATIN SMALL LETTER O
0x77	U+FF4F	<-	# FULLWIDTH LATIN SMALL LETTER O
0x78	U+0070		# LATIN SMALL LETTER P
0x78	U+FF50	<-	# FULLWIDTH LATIN SMALL LETTER P
0x79	U+0060		# GRAVE ACCENT
0x79	U+FF40	<-	# FULLWIDTH GRAVE ACCENT
0x7A	U+003A		# COLON
0x7A	U+FF1A	<-	# FULLWIDTH COLON
0x7B	U+0023		# NUMBER SIGN
0x7B	U+FF03	<-	# FULLWIDTH NUMBER SIGN
0x7C	U+0040		# COMMERCIAL AT
0x7C	U+FF20	<-	# FULLWIDTH COMMERCIAL AT
0x7D	U+0027		# APOSTROPHE
0x7D	U+FF07	<-	# FULLWIDTH APOSTROPHE
0x7E	U+003D		# EQUALS SIGN
0x7E	U+FF1D	<-	# FULLWIDTH EQUALS SIGN
0x7F	U+0022		# QUOTATION MARK
0x7F	U+FF02	<-	# FULLWIDTH QUOTATION MARK
0x80	U+005D		# RIGHT SQUARE BRACKET
0x80	U+FF3D	<-	# FULLWIDTH RIGHT SQUARE BRACKET
0x81	U+FF71		# HALFWIDTH KATAKANA LETTER A
0x82	U+FF72		# HALFWIDTH KATAKANA LETTER I
0x83	U+FF73		# HALFWIDTH KATAKANA LETTER U
0x84	U+FF74		# HALFWIDTH KATAKANA LETTER E
0x85	U+FF75		# HALFWIDTH KATAKANA LETTER O
0x86	U+FF76		# HALFWIDTH KATAKANA LETTER KA
0x87	U+FF77		# HALFWIDTH KATAKANA LETTER KI
0x88	U+FF78		# HALFWIDTH KATAKANA LETTER KU
0x89	U+FF79		# HALFWIDTH KATAKANA LETTER KE
0x8A	U+FF7A		# HALFWIDTH KATAKANA LETTER KO
0x8B	U+0071		# LATIN SMALL LETTER Q
0x8B	U+FF51	<-	# FULLWIDTH LATIN SMALL LETTER Q
0x8C	U+FF7B		# HALFWIDTH KATAKANA LETTER SA
