#?PETBL/1.0
#?o name="cp21027-ms-2000"
#?o ucm:code_set_alias="cp21027-ms	ms21027	windows21027	windows-21027"
## Source: 2000/08/26  21:00               66,082 c_21027.nls
#?o license="Public Domain"
0x8E	U+FF87	<-	# HALFWIDTH KATAKANA LETTER NU
0x8F	U+FF88		# HALFWIDTH KATAKANA LETTER NE
0x91	U+006A		# LATIN SMALL LETTER J
0x92	U+006B		# LATIN SMALL LETTER K
0x93	U+006C		# LATIN SMALL LETTER L
0x94	U+006D		# LATIN SMALL LETTER M
0x95	U+006E		# LATIN SMALL LETTER N
0x96	U+006F		# LATIN SMALL LETTER O
0x97	U+0070		# LATIN SMALL LETTER P
0x98	U+0071		# LATIN SMALL LETTER Q
0x99	U+0072		# LATIN SMALL LETTER R
0x9A	U+FF89		# HALFWIDTH KATAKANA LETTER NO
0x9B	U+FF8A		# HALFWIDTH KATAKANA LETTER HA
0x9C	U+FF8B		# HALFWIDTH KATAKANA LETTER HI
0x9D	U+FF8C		# HALFWIDTH KATAKANA LETTER HU
0x9E	U+FF8D		# HALFWIDTH KATAKANA LETTER HE
0x9F	U+FF8E		# HALFWIDTH KATAKANA LETTER HO
0xA0	U+00AF		# MACRON
0xA1	U+007E		# TILDE
0xA2	U+0073		# LATIN SMALL LETTER S
0xA3	U+0074		# LATIN SMALL LETTER T
0xA4	U+0075		# LATIN SMALL LETTER U
0xA5	U+0076		# LATIN SMALL LETTER V
0xA6	U+0077		# LATIN SMALL LETTER W
0xA7	U+0078		# LATIN SMALL LETTER X
0xA8	U+0079		# LATIN SMALL LETTER Y
0xA9	U+007A		# LATIN SMALL LETTER Z
0xAA	U+FF8F		# HALFWIDTH KATAKANA LETTER MA
0xAB	U+FF90		# HALFWIDTH KATAKANA LETTER MI
0xAC	U+FF91		# HALFWIDTH KATAKANA LETTER MU
0xAD	U+005B		# LEFT SQUARE BRACKET
0xAE	U+FF92		# HALFWIDTH KATAKANA LETTER ME
0xAF	U+FF93		# HALFWIDTH KATAKANA LETTER MO
0xB0	U+005E		# CIRCUMFLEX ACCENT
0xB1	U+00A3		# POUND SIGN
0xB2	U+00A5		# YEN SIGN
0xB3	U+FF94		# HALFWIDTH KATAKANA LETTER YA
0xB4	U+FF95		# HALFWIDTH KATAKANA LETTER YU
0xB5	U+FF96		# HALFWIDTH KATAKANA LETTER YO
0xB6	U+FF97		# HALFWIDTH KATAKANA LETTER RA
0xB7	U+FF98		# HALFWIDTH KATAKANA LETTER RI
0xB8	U+FF99		# HALFWIDTH KATAKANA LETTER RU
0xB9	U+FF9A		# HALFWIDTH KATAKANA LETTER RE
0xBA	U+FF9B		# HALFWIDTH KATAKANA LETTER RO
0xBB	U+FF9C		# HALFWIDTH KATAKANA LETTER WA
0xBC	U+FF9D		# HALFWIDTH KATAKANA LETTER N
0xBD	U+005D		# RIGHT SQUARE BRACKET
0xBE	U+FF9E		# HALFWIDTH KATAKANA VOICED SOUND MARK
0xBF	U+FF9F		# HALFWIDTH KATAKANA SEMI-VOICED SOUND MARK
0xC0	U+007B		# LEFT CURLY BRACKET
0xC1	U+0041		# LATIN CAPITAL LETTER A
0xC2	U+0042		# LATIN CAPITAL LETTER B
0xC3	U+0043		# LATIN CAPITAL LETTER C
0xC4	U+0044		# LATIN CAPITAL LETTER D
0xC5	U+0045		# LATIN CAPITAL LETTER E
0xC6	U+0046		# LATIN CAPITAL LETTER F
0xC7	U+0047		# LATIN CAPITAL LETTER G
0xC8	U+0048	<-	# LATIN CAPITAL LETTER H
0xC8	U+F8E5		# <private>
0xC9	U+0049	<-	# LATIN CAPITAL LETTER I
0xC9	U+F8E6		# <private>
0xCA	U+F8E7		# <private>
0xCB	U+F8E8		# <private>
0xCC	U+F8E9		# <private>
0xCD	U+F8EA		# <private>
0xD0	U+007D		# RIGHT CURLY BRACKET
0xD1	U+004A		# LATIN CAPITAL LETTER J
0xD2	U+004B		# LATIN CAPITAL LETTER K
0xD3	U+004C		# LATIN CAPITAL LETTER L
0xD4	U+004D		# LATIN CAPITAL LETTER M
0xD5	U+004E		# LATIN CAPITAL LETTER N
0xD6	U+004F		# LATIN CAPITAL LETTER O
0xD7	U+0050		# LATIN CAPITAL LETTER P
0xD8	U+0051	<-	# LATIN CAPITAL LETTER Q
0xD8	U+F8EB		# <private>
0xD9	U+0052	<-	# LATIN CAPITAL LETTER R
0xD9	U+F8EC		# <private>
0xDA	U+F8ED		# <private>
0xDB	U+F8EE		# <private>
0xDC	U+F8EF		# <private>
0xDD	U+F8F0		# <private>
0xDF	U+F8F1		# <private>
0xE0	U+005C		# REVERSE SOLIDUS
0xE2	U+0053		# LATIN CAPITAL LETTER S
0xE3	U+0054		# LATIN CAPITAL LETTER T
0xE4	U+0055		# LATIN CAPITAL LETTER U
0xE5	U+0056		# LATIN CAPITAL LETTER V
0xE6	U+0057		# LATIN CAPITAL LETTER W
0xE7	U+0058		# LATIN CAPITAL LETTER X
0xE8	U+0059	<-	# LATIN CAPITAL LETTER Y
0xE8	U+F8F2		# <private>
0xE9	U+005A	<-	# LATIN CAPITAL LETTER Z
0xE9	U+F8F3		# <private>
0xEA	U+F8F4		# <private>
0xEB	U+F8F5		# <private>
0xEC	U+F8F6		# <private>
0xED	U+F8F7		# <private>
0xF0	U+0030		# DIGIT ZERO
0xF1	U+0031		# DIGIT ONE
0xF2	U+0032		# DIGIT TWO
0xF3	U+0033		# DIGIT THREE
0xF4	U+0034		# DIGIT FOUR
0xF5	U+0035		# DIGIT FIVE
0xF6	U+0036		# DIGIT SIX
0xF7	U+0037		# DIGIT SEVEN
0xF8	U+0038	<-	# DIGIT EIGHT
0xF8	U+F8F8		# <private>
0xF9	U+0039	<-	# DIGIT NINE
0xF9	U+F8F9		# <private>
0xFA	U+F8FA		# <private>
0xFB	U+F8FB		# <private>
0xFC	U+F8FC		# <private>
0xFD	U+F8FD		# <private>
0xFE	U+F8FE		# <private>
0xFF	U+F8FF		# <private>
